N-samples,CNAME,e1_all_unsatgl_rm,e2_all_unsatgl_rm
667,BURNET H S,49,44
668,QUEST H S,33,76
669,MARBLE FALLS H,39,37
670,FALLS CAREER H,60,70
671,LOCKHART H S,54,49
672,LOCKHART PRIDE,80,50
673,LULING H S,58,55
674,PRAIRIE LEA SCH,62,63
675,CALHOUN H S,45,46
677,CROSS PLAINS H,45,30
678,CLYDE H S,34,25
679,BAIRD H S,39,37
680,EULA H S,26,11
681,HANNA EARLY COL,36,34
682,PORTER EARLY CO,57,59
683,PACE EARLY COLL,44,43
684,RIVERA EARLY CO,52,47
685,BROWNSVILLE LEA,90,89
686,LOPEZ EARLY COL,49,43
687,BROWNSVILLE EAR,3,3
688,LINCOLN PARK SC,71,71
689,HARLINGEN H S,82,45
690,HARLINGEN H S -,80,35
691,KEYS ACAD,86,82
693,EARLY COLLEGE H,3,3
694,EARLY COLLEGE H,3,14
695,EARLY COLLEGE H,3,8
696,EARLY COLLEGE H,17,3
697,EARLY COLLEGE H,17,14
698,EARLY COLLEGE H,17,8
699,EARLY COLLEGE H,1,3
700,EARLY COLLEGE H,1,14
701,EARLY COLLEGE H,1,8
702,HARLINGEN SCHOO,5,4
704,LA FERIA H S,46,47
705,LA FERIA ACADEM,100,75
707,LOS FRESNOS H S,81,89
708,LOS FRESNOS UNI,32,26
709,AMI KIDS RIO GR,88,67
710,PORT ISABEL H S,82,49
711,RIO HONDO H S,50,46
712,SAN BENITO H S,85,62
715,RGV YOUTH RECOV,63,80
716,GATEWAY TO GRAD,84,65
717,HESTER JUVENILE,79,86
718,SANTA MARIA H S,63,67
719,SANTA MARIA ACA,100,100
720,SANTA ROSA H S,46,33
721,SOUTH TEXAS BUS,23,16
722,SOUTH TEXAS ACA,26,21
723,SOUTH TEXAS H S,11,9
724,THE SCIENCE ACA,6,5
725,PITTSBURG H S,28,28
727,PANHANDLE H S,14,25
728,WHITE DEER H S,39,25
729,ATLANTA H S,43,44
730,AVINGER SCHOOL,18,38
731,HUGHES SPRINGS,23,32
732,LINDEN-KILDARE,30,25
733,MCLEOD H S,41,38
734,QUEEN CITY H S,31,25
735,BLOOMBURG H S,41,37
736,DIMMITT H S,56,44
737,HART ISD,71,69
738,NAZARETH SCHOOL,14,0
739,ANAHUAC H S,44,49
740,BARBERS HILL H,15,11
741,EAST CHAMBERS H,36,36
742,ALTO H S,55,42
743,JACKSONVILLE H,45,41
744,RUSK H S,40,29
745,NEW SUMMERFIELD,44,53
746,WELLS H S,48,48
747,CHILDRESS H S,32,32
748,HENRIETTA H S,33,22
749,PETROLIA JUNIOR,30,30
750,BELLEVUE SCHOOL,40,25
751,MIDWAY SCHOOL,13,18
752,MORTON SCHOOL,50,53
753,WHITEFACE H S,19,6
754,BRONTE ISD,27,27
755,ROBERT LEE H S,50,39
758,COLEMAN H S,29,25
759,SANTA ANNA SECO,42,38
760,PANTHER CREEK S,20,7
761,IMAGINE INTERNA,4,2
762,ALLEN H S,81,11
763,ANNA H S,33,31
764,CELINA H S,21,22
765,FARMERSVILLE H,24,26
766,FRISCO H S,17,22
767,CENTENNIAL H S,5,11
768,WAKELAND H S,5,9
769,LIBERTY H S,9,9
770,LIBERTY H S,9,91
771,LIBERTY H S,9,48
772,LIBERTY H S,97,9
773,LIBERTY H S,97,91
774,LIBERTY H S,97,48
775,LIBERTY H S,51,9
776,LIBERTY H S,51,91
777,LIBERTY H S,51,48
778,HERITAGE H S,11,14
779,LONE STAR H S,12,11
780,INDEPENDENCE H,11,13
781,REEDY H S,6,4
782,MCKINNEY H S,27,23
783,MCKINNEY NORTH,18,19
785,COUNTY RESIDENT,63,80
786,MCKINNEY BOYD H,13,13
787,MELISSA H S,17,14
788,PLANO SR H S,90,74
789,WILLIAMS H S,32,20
790,VINES H S,18,22
791,PLANO EAST SR H,20,29
792,SHEPTON H S,24,19
793,PLANO ISD ACADE,0,2
794,JASPER H S,5,6
795,JASPER H S,5,49
796,JASPER H S,53,6
797,JASPER H S,53,49
798,PLANO WEST SENI,85,84
799,C A MCMILLEN H,21,18
800,PRINCETON H S,37,37
801,PROSPER H S,11,12
802,WYLIE H S,19,18
803,WYLIE H S,19,13
804,WYLIE H S,10,18
805,WYLIE H S,10,13
806,WYLIE EAST H S,19,19
807,ACHIEVE ACADEMY,68,70
808,BLUE RIDGE H S,38,37
809,COMMUNITY H S,41,35
810,LOVEJOY H S,4,6
811,WELLINGTON H S,22,18
812,COLUMBUS H S,39,43
815,COLUMBUS ALTERN,95,60
816,COLUMBUS ALTERN,95,100
817,RICE H S,50,42
818,RICE H S,50,55
819,RICE H S,52,42
820,RICE H S,52,55
821,RICE CHALLENGE,59,56
822,WEIMAR H S,33,19
823,TRINITY CHARTER,61,50
824,TRINITY CHARTER,61,75
825,TRINITY CHARTER,76,50
826,TRINITY CHARTER,76,75
827,PEGASUS SCHOOL,53,82
828,AZLEWAY - CHAPE,100,100
829,AZLEWAY - BIG S,89,100
830,AZLEWAY - WILLO,69,75
831,NEW BRAUNFELS H,76,22
833,NEW BRAUNFELS H,15,22
835,THE NBISD LEARN,83,70
836,CANYON H S,33,34
837,CANYON H S,33,26
838,CANYON H S,27,34
839,CANYON H S,27,26
840,SMITHSON VALLEY,14,14
841,CANYON LAKE H S,34,30
842,MEMORIAL EARLY,1,4
844,COMANCHE H S,37,28
845,DE LEON H S,36,33
846,GUSTINE SCHOOL,19,38
847,SIDNEY SCHOOL,64,60
848,EDEN CISD,57,42
849,PAINT ROCK SCHO,41,20
850,GAINESVILLE H S,57,46
851,MUENSTER H S,18,24
852,VALLEY VIEW H S,37,34
853,VALLEY VIEW H S,37,49
854,VALLEY VIEW H S,50,34
855,VALLEY VIEW H S,50,49
856,CALLISBURG H S,29,24
857,ERA SCHOOL,23,16
858,LINDSAY H S,4,9
859,EVANT H S,48,52
860,GATESVILLE H S,36,31
861,OGLESBY SCHOOL,20,29
862,JONESBORO SCHOO,36,33
863,COPPERAS COVE H,40,35
864,CROSSROADS H S,64,91
865,CROSSROADS H S,64,77
866,CROSSROADS H S,90,91
867,CROSSROADS H S,90,77
868,PADUCAH SCHOOL,45,32
869,CRANE H S,57,43
870,OZONA H S,39,48
871,CROSBYTON SECON,50,48
872,LORENZO H S,44,38
873,RALLS H S,44,29
874,VAN HORN SCHOOL,59,58
875,DALHART H S,41,40
876,X I T SECONDARY,100,89
877,TEXLINE SCHOOL,60,50
878,PEGASUS CHARTER,40,43
879,UPLIFT EDUCATIO,8,2
880,UPLIFT WILLIAMS,27,30
881,UPLIFT LUNA PRE,47,37
882,UPLIFT HEIGHTS,38,47
883,UPLIFT HAMPTON,31,26
884,UPLIFT SUMMIT I,22,19
885,UPLIFT PEAK PRE,35,24
886,UPLIFT INFINITY,27,20
887,UPLIFT MIGHTY H,47,54
888,DALLAS CAN ACAD,68,71
889,DALLAS CAN ACAD,68,76
